易碎品	tt	17123456789	E-0001	2025-04-18 22:05:40	2025-04-19 18:26:00	n	无	0.00	manager
冷链生鲜	ee	15123456789	D-0004	2025-04-18 22:07:56	2025-04-19 18:27:17	n	无	0.00	fxy
标准快递	aa	15123345678	B-0002	2025-04-18 22:08:34	2025-04-19 18:27:58	n	无	0.00	fxy
经济快递	jh	14845612378	A-0003	2025-04-18 22:12:57	2025-04-19 18:28:05	n	无	0.00	fxy
经济快递	qq	13123456789	C-0001	2025-04-18 22:08:14	2025-04-19 18:28:15	n	无	0.00	fxy
标准快递	qq	13112345678	B-0003	2025-04-18 22:15:00	2025-04-19 18:28:23	n	无	0.00	fxy
经济快递	fj	18745612378	C-0004	2025-04-18 22:13:57	2025-04-19 18:28:34	n	无	0.00	fxy
标准快递	fg	15612345678	C-0007	2025-04-18 22:41:44	2025-04-19 18:31:39	n	无	0.00	manager
常温生鲜	nh	15512345678	D-0008	2025-04-18 22:14:22	2025-04-19 18:44:02	n	无	0.00	manager
常温生鲜	uu	19112345678	D-0010	2025-04-18 22:42:38	2025-04-19 18:44:30	n	无	0.00	manager
标准快递	ww	14123456789	A-0009	2025-04-18 22:53:46	2025-04-19 18:44:35	n	无	0.00	manager
标准快递	qq	13123456789	C-0011	2025-04-18 23:04:42	2025-04-19 18:44:41	n	无	0.00	manager
标准快递	ik	15645674568	A-0010	2025-04-18 23:01:23	2025-04-19 18:45:18	n	无	0.00	manager
经济快递	qq	13123456789	A-0012	2025-04-18 23:09:14	2025-04-19 18:45:25	n	无	0.00	manager
易碎品	ee	15123456789	E-0007	2025-04-18 23:09:36	2025-04-19 18:45:32	n	无	0.00	manager
标准快递	ff	15645678945	C-0010	2025-04-18 22:51:18	2025-04-19 18:45:38	n	无	0.00	manager
标准快递	fd	15646789452	A-0008	2025-04-18 22:50:35	2025-04-19 18:45:49	n	无	0.00	manager
经济快递	ff	15645674567	A-0013	2025-04-18 23:11:54	2025-04-19 18:46:19	n	无	0.00	manager
标准快递	ss	15644567456	C-0014	2025-04-18 23:11:21	2025-04-19 18:46:27	n	无	0.00	manager
标准快递	qq	13123456789	C-0012	2025-04-18 23:09:48	2025-04-19 18:46:32	n	无	0.00	manager
标准快递	gh	15645677894	B-0004	2025-04-18 22:53:03	2025-04-19 18:46:43	n	无	0.00	manager
标准快递	ff	15612344567	C-0013	2025-04-18 23:10:08	2025-04-19 18:46:55	n	无	0.00	manager
易碎品	qq	13123456789	E-0005	2025-04-18 23:06:48	2025-04-19 18:47:07	n	无	0.00	manager
冷链生鲜	rt	15445612378	D-0011	2025-04-18 22:42:52	2025-04-19 18:47:16	n	无	0.00	manager
常温生鲜	cv	15648978945	D-0012	2025-04-18 22:45:26	2025-04-19 18:47:22	n	无	0.00	manager
常温生鲜	hh	15612344567	D-0013	2025-04-18 23:10:43	2025-04-19 18:47:28	n	无	0.00	manager
冷链生鲜	dd	14512341564	D-0014	2025-04-18 23:11:01	2025-04-19 18:47:44	n	无	0.00	manager
经济快递	df	15645611234	C-0015	2025-04-18 23:12:08	2025-04-19 18:49:29	n	无	0.00	manager
经济快递	vv	15645611234	C-0016	2025-04-18 23:12:21	2025-04-19 18:49:39	n	无	0.00	manager
标准快递	gg	15647895456	A-0014	2025-04-18 23:12:42	2025-04-19 18:49:49	n	无	0.00	manager
标准快递	rr	16123456789	A-0016	2025-04-18 23:14:18	2025-04-20 15:58:33	n	无	0.00	manager
