经济快递	bv	15641234456	C-0017	2025-04-18 23:13:15	无	n	无	0.00	无
经济快递	df	15647894231	B-0007	2025-04-18 23:13:29	无	n	无	0.00	无
经济快递	ww	14123456789	A-0015	2025-04-18 23:13:41	无	n	无	0.00	无
标准快递	jg	15344567456	C-0018	2025-04-18 23:13:56	无	n	无	0.00	无
经济快递	qq	13123456789	C-0019	2025-04-18 23:19:17	无	n	无	0.00	无
经济快递	qq	13123456789	C-0020	2025-04-18 23:19:33	无	n	无	0.00	无
经济快递	ww	14123456789	C-0021	2025-04-18 23:26:23	无	n	无	0.00	无
标准快递	ab	17700177031	A-0041	2025-04-19 18:00:01	无	n	无	0.00	无
经济快递	cd	17600176032	B-0031	2025-04-19 18:05:12	无	n	无	0.00	无
常温生鲜	ef	17500175033	D-0055	2025-04-19 18:10:23	无	n	无	0.00	无
冷链生鲜	gh	17400174034	D-0056	2025-04-19 18:15:34	无	n	无	0.00	无
易碎品	ij	17300173035	E-0021	2025-04-19 18:20:45	无	n	无	0.00	无
标准快递	kl	17200172036	C-0038	2025-04-19 18:25:56	无	n	无	0.00	无
经济快递	mn	17100171037	C-0039	2025-04-19 18:30:07	无	n	无	0.00	无
常温生鲜	op	17000170038	D-0057	2025-04-19 18:35:18	无	n	无	0.00	无
冷链生鲜	pq	16900169039	D-0058	2025-04-19 18:40:29	无	n	无	0.00	无
易碎品	rs	16800168040	E-0022	2025-04-19 18:45:40	无	n	无	0.00	无
标准快递	tu	16700167041	A-0042	2025-04-19 19:00:01	无	n	无	0.00	无
经济快递	vw	16600166042	B-0032	2025-04-19 19:05:12	无	n	无	0.00	无
常温生鲜	xy	16500165043	D-0059	2025-04-19 19:10:23	无	n	无	0.00	无
冷链生鲜	zd	16400164044	D-0060	2025-04-19 19:15:34	无	n	无	0.00	无
易碎品	ef	16300163045	E-0023	2025-04-19 19:20:45	无	n	无	0.00	无
标准快递	gh	16200162046	C-0040	2025-04-19 19:25:56	无	n	无	0.00	无
经济快递	ij	16100161047	C-0041	2025-04-19 19:30:07	无	n	无	0.00	无
经济快递	ff	15645678988	C-0042	2025-04-19 18:56:20	无	n	无	0.00	无
易碎品	gd	13456789655	E-0024	2025-04-19 18:56:33	无	n	无	0.00	无
冷链生鲜	rt	15645678956	D-0061	2025-04-19 18:56:45	无	n	无	0.00	无
经济快递	gh	15645678985	C-0043	2025-04-19 18:56:58	无	n	无	0.00	无
易碎品	ds	15645678985	E-0025	2025-04-19 18:57:39	无	n	无	0.00	无
易碎品	ss	15645678985	E-0026	2025-04-19 18:57:52	无	n	无	0.00	无
经济快递	sd	15645678955	A-0043	2025-04-19 18:58:00	无	n	无	0.00	无
易碎品	洗手液	13548754874	E-0027	2025-04-20 15:57:56	无	n	无	0.00	无
