ii|19112345677|cc|15612345678|香港|经济快递|y|10.00|预付|141.60|5924|待寄件|
rr|16123456789|vv|14156478944|贵州|贵重物品|n|10.00|预付|172.00|9972|待寄件|
yy|18123456789|mb|15123456789|广东|经济快递|y|10.00|到付|71.20|1370|待寄件|
qq|13123456789|ww|15645612222|云南|经济快递|y|50.00|到付|327.20|3442|待寄件|
ee|15123456789|ff|15647894566|宁夏|经济快递|y|12.00|到付|55.20|2190|待寄件|
tt|17123456789|ee|15123456789|湖北|经济快递|y|22.00|到付|148.00|2823|待寄件|
qq|13123456789|rf|15645678985|广东|经济快递|y|10.00|到付|71.20|3042|待寄件|
ws|15645678945|hh|14125648978|河南|经济快递|n|10.24|到付|44.80|3496|待寄件|
yy|18123456789|da|18612345678|山东|经济快递|y|125.00|到付|507.20|4087|待寄件|
qq|13123456789|s|15678946654|四川|常温生鲜|y|10.56|到付|106.80|4469|待寄件|
ss|14565588955|re|15645678985|天津|贵重物品|y|10.56|到付|118.00|4658|待寄件|
ww|14123456789|ff|15645678985|北京|经济快递|y|100.00|到付|407.20|8401|待寄件|
qq|13123456789|ss|15645678955|湖南|经济快递|y|55.00|到付|359.20|8603|待寄件|
ww|14123456789|cc|17878945645|广东|经济快递|g|10.00|到付|68.80|3420|待寄件|
uu|19123456789|ff|15645678945|甘肃|经济快递|y|12.00|到付|84.00|9100|待寄件|
qq|13123456789|sa|18891234567|北京|冷链生鲜|y|10.00|到付|88.50|9482|待寄件|
ww|14123456789|kl|15678945654|辽宁|贵重物品|y|20.00|到付|138.00|9766|待寄件|
ww|14123456789|ed|15678948978|上海|经济快递|y|10.00|到付|71.20|1477|待寄件|
rr|16123456789|ed|15678945612|广东|经济快递|y|10.20|到付|71.20|1898|待寄件|
tt|17123456789|hj|18978945615|湖南|经济快递|y|22.00|到付|148.00|2354|待寄件|
ff|17894561231|gg|15645678945|湖南|贵重物品|y|11.00|到付|194.00|0236|待寄件|
er|15645678945|ff|15678945645|山东|经济快递|y|45.00|到付|187.20|8888|待寄件|
dg|15645674568|tt|17123456789|湖南|经济快递|y|20.00|到付|135.20|5050|待寄件|
qq|13123456789|ww|15645678952|北京|经济快递|y|10.00|到付|47.20|2341|待寄件|
ds|15612344567|gg|18912345678|香港|贵重物品|y|55.00|到付|1704.00|6525|待寄件|
aa|13812345678|bb|13987654321|上海|标准快递|n|5.00|预付|42.00|1234|待寄件|
cc|15912345678|dd|13765432198|广东|常温生鲜|y|8.00|后付|78.40|5678|待寄件|
ee|18612345678|ff|13543219876|浙江|冷链生鲜|n|12.00|预付|132.00|9012|待寄件|
gg|18712345678|hh|13321987654|江苏|贵重物品|y|3.00|到付|96.00|3456|待寄件|
ii|18812345678|jj|13198765432|四川|经济快递|n|7.00|后付|39.20|7890|待寄件|
kk|18912345678|ll|13087654321|福建|标准快递|y|15.00|预付|126.00|2345|待寄件|
mm|13012345678|nn|13976543210|重庆|常温生鲜|n|9.00|后付|88.20|6789|待寄件|
oo|13123456789|pp|13865432109|天津|冷链生鲜|y|6.00|预付|72.00|0123|待寄件|
ss|13345678901|tt|13643210987|山西|经济快递|y|11.00|后付|61.60|8901|待寄件|
