tg|15432109876|uh|13432109876|内蒙古|标准快递|n|6.90|预付|57.96|2236|已寄出|
qq|13234567890|rr|13754321098|河北|贵重物品|n|4.00|到付|128.00|4567|已寄出|
tt|17123456789|hg|15645678945|湖南|冷链生鲜|y|10.00|到付|133.50|5238|已寄出|
ww|14123456789|cv|15648978948|海南|经济快递|n|22.00|到付|145.60|9567|已寄出|
ww|14123456789|dd|15645611234|广西|经济快递|y|10.00|到付|71.20|2889|已寄出|
qq|13123456789|xx|15645678945|广东|经济快递|y|11.00|预付|54.80|2408|已寄出|
ee|15123456789|ff|15645611234|北京|经济快递|y|44.00|到付|183.20|9345|已寄出|
qq|13123456789|dd|15645614562|新疆|标准快递|y|23.00|到付|135.70|0950|已寄出|
ww|13245678901|rr|15712345678|上海|贵重物品|n|12.00|预付|384.00|1122|已寄出|
tt|13356789012|yy|15823456789|广东|冷链生鲜|y|8.00|后付|98.40|2233|已寄出|
uu|13467890123|ii|15934567890|浙江|常温生鲜|n|15.00|预付|165.00|3344|已寄出|
oo|13578901234|pp|16045678901|江苏|经济快递|y|18.00|到付|75.60|4455|已寄出|
aa|13689012345|ss|16156789012|四川|标准快递|n|7.00|后付|58.80|5566|已寄出|
dd|13790123456|ff|16267890123|福建|贵重物品|y|5.00|预付|160.00|6677|已寄出|
gg|13801234567|hh|16378901234|重庆|冷链生鲜|n|10.00|到付|110.00|7788|已寄出|
jj|13912345678|kk|16489012345|天津|常温生鲜|y|13.00|后付|127.40|8899|已寄出|
ll|15023456789|mm|16590123456|河北|经济快递|n|9.00|预付|47.20|9900|已寄出|
zz|15134567890|xx|16601234567|山西|标准快递|y|16.00|到付|134.40|0011|已寄出|
cc|15245678901|vv|16712345678|辽宁|贵重物品|n|6.00|后付|192.00|1123|已寄出|
bb|15356789012|nn|16823456789|吉林|冷链生鲜|y|11.00|预付|121.00|2234|已寄出|
mm|15467890123|qq|16934567890|黑龙江|常温生鲜|n|14.00|到付|137.20|3345|已寄出|
ss|15578901234|ww|17045678901|安徽|经济快递|y|17.00|后付|95.20|4456|已寄出|
ff|15689012345|ee|17156789012|江西|标准快递|n|8.00|预付|67.20|5567|已寄出|
hh|15790123456|gg|17267890123|河南|贵重物品|y|7.00|到付|224.00|6678|已寄出|
kk|15801234567|ii|17378901234|湖北|冷链生鲜|n|12.00|后付|117.60|7789|已寄出|
nn|15912345678|jj|17489012345|陕西|常温生鲜|y|15.00|预付|165.00|8890|已寄出|
pp|16023456789|ll|17590123456|甘肃|经济快递|n|10.00|到付|42.00|9901|已寄出|
rr|16134567890|oo|17601234567|青海|标准快递|y|19.00|后付|159.60|0012|已寄出|
vv|16245678901|tt|17712345678|海南|贵重物品|n|9.00|预付|288.00|1124|已寄出|
xx|16356789012|uu|17823456789|贵州|冷链生鲜|y|13.00|到付|127.40|2235|已寄出|
yy|16467890123|zz|17934567890|云南|常温生鲜|n|16.00|后付|156.80|3346|已寄出|
ab|16578901234|cd|18045678901|西藏|经济快递|y|20.00|预付|84.00|4457|已寄出|
ef|16689012345|gh|18156789012|内蒙古|标准快递|n|11.00|到付|92.40|5568|已寄出|
ij|16790123456|kl|18267890123|广西|贵重物品|y|14.00|后付|448.00|6679|已寄出|
mn|16801234567|op|18378901234|宁夏|冷链生鲜|n|17.00|预付|187.00|7780|已寄出|
qr|16912345678|st|18489012345|新疆|常温生鲜|y|21.00|到付|205.80|8891|已寄出|
